rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,date,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,current_age
1.0,211000.0,Fashion & Retail,Bernard Arnault & family,74.0,France,Paris,LVMH,Fashion & Retail,France,False,U,M,1949-03-05 00:00:00,Arnault,Bernard,4/4/2023 5:01,1949.0,3.0,5.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,76.0
2.0,180000.0,Automotive,Elon Musk,51.0,United States,Austin,"Tesla, SpaceX",Automotive,United States,True,D,M,1971-06-28 00:00:00,Musk,Elon,4/4/2023 5:01,1971.0,6.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,53.0
3.0,114000.0,Technology,Jeff Bezos,59.0,United States,Medina,Amazon,Technology,United States,True,D,M,1964-01-12 00:00:00,Bezos,Jeff,4/4/2023 5:01,1964.0,1.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,61.0
4.0,107000.0,Technology,Larry Ellison,78.0,United States,Lanai,Oracle,Technology,United States,True,U,M,1944-08-17 00:00:00,Ellison,Larry,4/4/2023 5:01,1944.0,8.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80.0
5.0,106000.0,Finance & Investments,Warren Buffett,92.0,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,True,D,M,1930-08-30 00:00:00,Buffett,Warren,4/4/2023 5:01,1930.0,8.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,94.0
6.0,104000.0,Technology,Bill Gates,67.0,United States,Medina,Microsoft,Technology,United States,True,D,M,1955-10-28 00:00:00,Gates,Bill,4/4/2023 5:01,1955.0,10.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,69.0
7.0,94500.0,Media & Entertainment,Michael Bloomberg,81.0,United States,New York,Bloomberg LP,Media & Entertainment,United States,True,U,M,1942-02-14 00:00:00,Bloomberg,Michael,4/4/2023 5:01,1942.0,2.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,83.0
8.0,93000.0,Telecom,Carlos Slim Helu & family,83.0,Mexico,Mexico City,Telecom,Telecom,Mexico,True,U,M,1940-01-28 00:00:00,Slim Helu,Carlos,4/4/2023 5:01,1940.0,1.0,28.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,85.0
9.0,83400.0,Diversified,Mukesh Ambani,65.0,India,Mumbai,Diversified,Diversified,India,False,D,M,1957-04-19 00:00:00,Ambani,Mukesh,4/4/2023 5:01,1957.0,4.0,19.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,67.0
10.0,80700.0,Technology,Steve Ballmer,67.0,United States,Hunts Point,Microsoft,Technology,United States,True,D,M,1956-03-24 00:00:00,Ballmer,Steve,4/4/2023 5:01,1956.0,3.0,24.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,69.0
